seller_id,total_revenue,avg_order_value,total_orders,total_product_sold
4869f7a5dfa277a7dca6462dcf3b52b2,229472.63,202.71,1132,1156
53243585a1d6dc2643021fd1853d8905,222776.05,622.28,358,410
4a3ca9315b744ce9f8e9374361493884,200472.92,111.00,1806,1987
fa1c13f2614d7b5c4749cbc52fecda94,194042.03,331.70,585,586
7c67e1448b00f6e969d365cea6b010ab,187923.89,191.37,982,1364
7e93a43ef30c4f03f38b393420bc753a,176431.87,525.09,336,340
da8622b14eb17ae2831f4ac5b9dab84a,160236.57,121.95,1314,1551
7a67c85e85bb2ce8582c35f2203ad736,141745.53,122.19,1160,1171
1025f0e2d44d7041d6cf58b6550e0bfa,138968.55,151.88,915,1428
955fee9216a65b617aa5c0531780ce60,135171.70,105.03,1287,1499
46dc3b2cc0980fb8ec44634e21d2718e,128111.19,245.89,521,542
6560211a19b47992c3666cc44a7e94c0,123304.83,66.51,1854,2033
620c87c171fb2a6dd6e8bb4dec959fc6,114774.50,155.10,740,798
7d13fca15225358621be4086e1eb0964,113628.97,201.11,565,578
5dceca129747e92ff8ef7a997dc4f8ca,112155.53,345.09,325,346
1f50f920176fa81dab994f9023523100,106939.21,76.17,1404,1931
cc419e0650a3c5ba77189a1882b7556a,104288.42,61.13,1706,1775
a1043bafd471dff536d0c462352beb48,101901.16,141.92,718,770
3d871de0142ce09b7081e2b9d1733cb1,94914.20,87.88,1080,1147
edb1ef5e36e0c8cd84eb3c9b003e486d,79284.55,477.62,166,175
ccc4bbb5f32a6ab2b7066a4130f114e3,74004.62,395.75,187,192
f7ba60f8c3f99e7ee4042fdef03b70c4,68395.00,312.31,219,230
fe2032dab1a61af8794248c8196565c9,65959.61,224.35,294,306
8581055ce74af1daba164fdbd55a40de,64925.30,167.77,387,435
cca3071e3e9bb7d12640c9fbe2301306,64009.89,89.90,712,830
04308b1ee57b6625f47df1d56f00eedf,60130.60,639.69,94,94
522620dcb18a6b31cd7bdf73665113a9,57168.49,328.55,174,180
17e34d8224d27a541263c4c64b11a56b,56363.24,221.03,255,268
7ddcbb64b5bc1ef36ca8c151f6ec77df,55578.57,166.40,334,343
de722cd6dad950a92b7d4f82673f8833,55426.10,163.50,339,379
37be5a7c751166fbc5f8ccba4119e043,55350.55,203.49,272,281
218d46b86c1881d022bce9c68a7d4b15,55093.28,141.99,388,427
25c5c91f63607446a97b143d2d535d31,54679.22,346.07,158,269
f5a590cf36251cf1162ea35bef76fe84,53201.78,454.72,117,122
ceaec5548eefc6e23e6607c5435102e7,52917.18,260.68,203,211
b2ba3715d723d245138f291a6fe42594,51676.88,153.34,337,363
966cb4760537b1404caedd472cc610a5,51286.05,683.81,75,75
e882b2a25a10b9c057cc49695f222c19,51057.54,895.75,57,58
2bf6a2c1e71bbd29a4ad64e6d3c3629f,50628.90,1687.63,30,31
f8db351d8c4c4c22c6835c19a46f01b0,50525.60,75.75,667,724
17f51e7198701186712e53a39c564617,48019.00,857.48,56,61
8160255418d5aaa7dbdc9f4c64ebda44,47017.69,122.12,385,431
77530e9772f57a62c906e1c21538ab82,46610.40,145.66,320,389
4e922959ae960d389249c378d1c939f5,46030.37,109.60,420,454
c826c40d7b19f62a09e2d7c5e7295ee2,45643.74,128.94,354,373
850f4f8af5ea87287ac68de36e29107f,45355.36,242.54,187,192
b33e7c55446eabf8fe1a42d037ac7d6d,44985.17,295.96,152,155
ba90964cff9b9e0e6f32b23b82465f7b,44212.50,1163.49,38,38
eeb6de78f79159600292e314a77cbd18,43739.84,526.99,83,84
4d6d651bd7684af3fffabd5f08d12e5a,43587.40,118.12,369,395
e9779976487b77c6d4ac45f75ec7afe9,43162.95,65.70,657,750
c3cfdc648177fdbbbb35635a37472c53,43048.18,154.85,278,307
b839e41795b7f3ad94cc2014a52f6796,42829.00,1297.85,33,36
2eb70248d66e0e3ef83659f71b244378,42628.61,211.03,202,212
d91fb3b7d041e83b64a00a3edfb37e4f,40889.74,76.43,535,536
17a053fcb14bd219540cbde0df490be0,40703.14,325.63,125,149
391fc6631aebcf3004804e51b40bcf1e,39951.95,75.95,526,613
834f3294fba9f932f56edc879193f925,39907.50,604.66,66,66
712e6ed8aa4aa1fa65dab41fed5737e4,39815.00,503.99,79,87
634964b17796e64304cadf1ad3050fb7,39465.10,147.26,268,326
7142540dd4c91e2237acb7e911c4eba2,37373.56,117.16,319,331
ea8482cd71df3c1969d7b9473ff13abc,37177.52,32.44,1146,1203
c3867b4666c7d76867627c2f7fb22e21,37153.40,151.65,245,259
7178f9f4dd81dcef02f62acdf8151e01,37070.40,182.61,203,216
c70c1b0d8ca86052f45a432a38b73958,36537.37,139.99,261,338
